2 8 7 0   f 4 e 1   6 c 9 d   b 3 5 a 
1 5 f 9   d a 7 b   3 0 2 4   8 6 c e 
a 6 b e   0 2 3 c   5 f 7 8   d 9 4 1 
3 c 4 d   5 9 6 8   a b 1 e   2 f 0 7 

6 e 9 a   1 b 5 0   d 3 8 f   4 c 7 2 
f b 8 c   6 e 2 3   4 7 5 a   0 d 1 9 
5 4 1 2   c 7 9 d   0 6 e b   f a 3 8 
7 d 0 3   a 8 4 f   2 9 c 1   e b 6 5 

9 7 5 6   2 f 0 a   b 8 4 3   c 1 e d 
c a d b   e 1 8 7   9 2 0 6   3 5 f 4 
8 0 2 1   3 6 c 4   e d f 5   9 7 a b 
e f 3 4   b 5 d 9   7 1 a c   6 8 2 0 

b 2 a 8   4 3 1 6   c 5 d 0   7 e 9 f 
0 9 6 5   7 d b e   f a 3 2   1 4 8 c 
4 3 c 7   8 0 f 5   1 e b 9   a 2 d 6 
d 1 e f   9 c a 2   8 4 6 7   5 0 b 3 
