b 2 7 a   1 d 8 c   f 3 e 0   4 9 5 6 
9 5 d f   a 7 4 3   8 b 1 6   e 2 0 c 
8 e 1 6   0 2 9 5   c 4 a d   7 f b 3 
3 0 4 c   6 b e f   5 2 7 9   8 1 a d 

5 7 6 e   d c b 0   9 1 f 8   2 3 4 a 
1 9 a 0   2 4 f e   7 d 5 3   6 c 8 b 
f b 8 4   5 a 3 1   e c 6 2   0 d 9 7 
2 d c 3   7 8 6 9   0 a 4 b   f e 1 5 

c 8 3 1   b 9 2 4   6 5 d 7   a 0 e f 
e f 5 d   3 1 7 6   a 8 0 c   9 b 2 4 
7 a 2 b   f 5 0 8   4 9 3 e   c 6 d 1 
6 4 0 9   c e a d   2 f b 1   3 5 7 8 

d 1 b 8   e f c a   3 0 9 4   5 7 6 2 
a 6 9 5   8 0 d 2   b 7 c f   1 4 3 e 
0 3 f 2   4 6 1 7   d e 8 5   b a c 9 
4 c e 7   9 3 5 b   1 6 2 a   d 8 f 0 
