1 9 2 a   5 c 4 d   8 3 7 f   e 0 b 6 
8 4 e 6   0 9 2 b   1 a c d   7 f 3 5 
b c f 5   3 7 e a   9 0 4 6   1 d 8 2 
7 3 d 0   1 8 f 6   2 e b 5   9 4 c a 

e b 7 8   9 2 d 3   a 5 6 0   4 c f 1 
c 0 6 4   7 e 8 f   3 9 d 1   5 2 a b 
5 d 1 2   c a b 0   4 f 8 7   3 6 e 9 
a f 9 3   4 6 1 5   c b e 2   d 8 0 7 

3 6 8 b   e d 9 7   0 c 1 a   2 5 4 f 
d 1 5 c   8 b a 4   6 2 f e   0 9 7 3 
4 2 0 9   f 3 6 c   b 7 5 8   a e 1 d 
f e a 7   2 0 5 1   d 4 3 9   8 b 6 c 

2 a 4 1   6 5 7 8   f d 0 c   b 3 9 e 
0 5 c e   b 1 3 9   7 6 2 4   f a d 8 
9 8 b f   d 4 c 2   e 1 a 3   6 7 5 0 
6 7 3 d   a f 0 e   5 8 9 b   c 1 2 4 
