a e 4 d   b 0 6 9   8 1 7 f   2 5 c 3 
2 5 6 8   c 3 f a   9 b 4 0   7 e 1 d 
0 3 b c   1 4 7 d   a e 2 5   9 8 f 6 
7 f 9 1   8 5 2 e   6 3 c d   0 4 a b 

d 4 0 6   a c 9 b   1 2 5 e   8 7 3 f 
3 7 e f   2 8 4 0   c 9 b a   5 6 d 1 
8 a 2 5   7 d 3 1   4 0 f 6   b 9 e c 
c b 1 9   5 6 e f   d 7 8 3   a 0 4 2 

e 0 d 3   6 b c 2   5 4 a 9   f 1 8 7 
6 9 8 4   d a 1 7   2 f e c   3 b 5 0 
f 1 5 2   4 e 8 3   b d 0 7   6 c 9 a 
b c 7 a   9 f 0 5   3 8 6 1   4 d 2 e 

1 6 a e   0 7 d 4   f 5 3 8   c 2 b 9 
4 d c 7   3 2 a 8   e 6 9 b   1 f 0 5 
5 2 f 0   e 9 b c   7 a 1 4   d 3 6 8 
9 8 3 b   f 1 5 6   0 c d 2   e a 7 4 
