6 a 8 b   c 4 e 0   9 3 f 7   2 d 5 1 
0 d 1 f   5 3 7 8   2 6 c a   b 4 9 e 
7 3 5 4   9 d 2 a   b e 0 1   c f 6 8 
2 e c 9   1 b f 6   5 8 4 d   7 0 3 a 

a 8 4 0   b 9 3 c   7 5 1 2   e 6 d f 
f 1 e 7   4 8 a 5   0 d 6 c   3 9 2 b 
9 2 3 6   7 0 d f   e 4 a b   5 1 8 c 
d c b 5   2 6 1 e   3 f 9 8   0 7 a 4 

4 b 9 1   8 f c d   6 0 3 e   a 2 7 5 
c 6 a e   3 7 5 4   d 2 b 9   1 8 f 0 
3 5 0 2   e a 6 b   8 1 7 f   9 c 4 d 
8 f 7 d   0 2 9 1   c a 5 4   6 b e 3 

1 9 6 a   d 5 0 7   f b 8 3   4 e c 2 
b 7 d 3   f c 4 2   a 9 e 0   8 5 1 6 
e 0 f c   6 1 8 3   4 7 2 5   d a b 9 
5 4 2 8   a e b 9   1 c d 6   f 3 0 7 
